,pmed No.,Fac_n,Optima,LB,opt_time,total_time,Iter_num,LB_0,dis_albel_2
0,euclidean_345_longhua,3,63.0,63.0,0.4294288158416748,0.4310109615325928,0,63.0,0.2956521739130435
1,euclidean_345_longhua,4,49.0,49.0,0.4154989719390869,0.4160630702972412,7,45.0,0.9681159420289855
2,euclidean_345_longhua,5,40.0,40.0,0.33304595947265625,0.333615779876709,0,39.0,0.6405797101449275
3,euclidean_345_longhua,6,37.0,37.0,0.49840426445007324,0.49892210960388184,8,35.0,0.8347826086956521
4,euclidean_345_longhua,7,32.0,32.0,0.4254279136657715,0.42595791816711426,3,32.0,0.8521739130434782
5,euclidean_345_longhua,8,32.0,32.0,0.49077916145324707,0.4913051128387451,8,29.0,0.7246376811594203
6,euclidean_345_longhua,9,30.0,30.0,0.5023863315582275,0.5029449462890625,7,27.0,0.5014492753623189
7,euclidean_345_longhua,10,28.0,28.0,0.4559628963470459,0.4564979076385498,7,26.0,0.9014492753623189
8,euclidean_345_longhua,11,27.0,27.0,0.7945630550384521,0.7950999736785889,17,23.0,0.736231884057971
9,euclidean_345_longhua,12,25.0,25.0,0.3376619815826416,0.33824777603149414,8,23.0,0.7420289855072464
10,euclidean_345_longhua,13,23.0,23.0,0.35935211181640625,0.35990190505981445,6,21.0,0.881159420289855
11,euclidean_345_longhua,14,23.0,23.0,0.45191287994384766,0.45246410369873047,11,20.0,0.7130434782608696
12,euclidean_345_longhua,15,21.0,21.0,0.2890901565551758,0.28964996337890625,10,20.0,0.7971014492753623
13,euclidean_345_longhua,18,19.0,19.0,0.3105616569519043,0.31117892265319824,9,17.0,0.6608695652173913
14,euclidean_345_longhua,20,18.0,18.0,0.2421722412109375,0.2427220344543457,8,16.0,0.6231884057971014
15,euclidean_345_longhua,30,13.0,13.0,0.3228950500488281,0.3234519958496094,12,12.0,0.8521739130434782
